;urls
158;https://www.tokopedia.com/suruga-ya/bakpia-kurnia-sari-all-variant-kacang-ijo?whid=0
159;https://www.tokopedia.com/bakpiakukustugujogja/bakpia-kukus-tugu-jogja-paket-hemat-free-dus-plastik-stikerfragile-original-stroberi?whid=0
160;https://www.tokopedia.com/cozinaja/spikoe-resep-kuno-100-original-ori?whid=0
161;https://www.tokopedia.com/ernaratnawati30/nastar-keju?whid=0
162;https://www.tokopedia.com/jktsnackhouse/pia-eiji-rasa-coklat-keju-asli-bali-mirip-pia-legong-coklat?whid=0
163;https://www.tokopedia.com/chypystorehouse/pia-mangkok-khas-malang-isi-12-kacang-ijo?whid=0
164;https://www.tokopedia.com/nutrimartid/tropicana-slim-hokkaido-cheese-cookies-nutty-chocolate-cookies?src=topads
165;https://www.tokopedia.com/cocokaka/fudgy-brownie-cookies-cocokaka?src=topads
166;https://www.tokopedia.com/kriukjaya/kue-nastar-wisman-spesial?whid=0
167;https://www.tokopedia.com/maruxjerico/dark-chocolate-cookies?whid=0
168;https://www.tokopedia.com/grandpas-store/kue-prancis-apple-pie-grandpas?whid=0
169;https://www.tokopedia.com/piamangkokonline/kue-pia-cap-mangkok-isi-12-kacang-hijau?whid=0
170;https://www.tokopedia.com/nutrimartid/triple-pack-tropicana-slim-korean-garlic-butter-cookies-5-sch?whid=0
171;https://www.tokopedia.com/nutrimartid/tropicana-slim-hokkaido-cheese-cookies-5-sch-sugar-free?src=topads
172;https://www.tokopedia.com/officialkartika/cheese-roll?src=topads
173;https://www.tokopedia.com/curate/lemonilo-brownies-crispy-rasa-chocochips-keju-cemilan-diet-sehat-chocochips
174;https://www.tokopedia.com/endorphinsid/green-tea-latte-cookie?src=topads
175;https://www.tokopedia.com/royalhealthfood/ladang-lima-pumpberry-cookies-180-gr?whid=0
176;https://www.tokopedia.com/kuebakuljunilaw/kue-keranjang-juni-law-tanpa-box?whid=0
177;https://www.tokopedia.com/chipschat/best-new-york-city-nutella-stuffed-cookies-with-chocolate-chips-enak?whid=0
178;https://www.tokopedia.com/tatasnacks/almond-crispy-cheese-wisata-rasa-surabaya-choco?whid=0
179;https://www.tokopedia.com/kangenrasaoleh2/bakpia-kurniasari-keju?whid=0
180;https://www.tokopedia.com/mycookiesshop/kue-kering-ina-cookies-500-gram-varian-asin-khusus-gojek-nastar-keju?whid=0
181;https://www.tokopedia.com/mondemart/monde-fried-cookies-200gr?whid=0
182;https://www.tokopedia.com/bababakesheep-1/baba-bake-sheep-premium-milk-cake?whid=0
183;https://www.tokopedia.com/endorphinsid/nutella-molten-original-cookies?whid=0
184;https://www.tokopedia.com/sophieauthent/canele-mini-kue-manis-box-isi-15?whid=0
185;https://www.tokopedia.com/steletecake/chocolate-fudge-birthday-cake-ukuran-20-cm-kue-ulang-tahun-ultah?whid=0
186;https://www.tokopedia.com/momoirobakes/chizu-pillow-cake?whid=0
187;https://www.tokopedia.com/steletecake/birthday-cake-kue-ulang-tahun-diameter-16-cm-murah-meriah?whid=0
